Bulgu,Kanıt,Teknik Yorum,İş Değeri,Modelleme Etkisi
Hedef Değişken Dağılımı,"Churn=No: %73.46, Churn=Yes: %26.54","Hedef değişken makul dengede, ciddi imbalance yok",Müşteri kaybı oranı %26.54 - iş açısından kritik bir oran,Hafif dengesizlik var ama SMOTE gerekli değil. Stratified split yeterli olabilir.
tenure - Churn İlişkisi,"Churn=Yes ortalama 17.98 ay, Churn=No ortalama 37.57 ay (p<0.0001)",En güçlü prediktör. Yeni müşteriler çok daha fazla churn ediyor.,İlk 18 ay kritik dönem. Müşteri sadakati programları bu döneme odaklanmalı.,Tenure modelin en önemli değişkenlerinden biri olacak.
Contract - Churn İlişkisi,"Month-to-month: %42.71 churn, One year: %11.27 churn, Two year: %2.83 churn",En yüksek churn oranına sahip kategorik değişken,Uzun vadeli sözleşmeler churn'ü dramatik şekilde azaltıyor. Stratejik aksiyon noktası.,Contract modelin en kritik kategorik değişkeni olacak.
InternetService - Churn İlişkisi,"Fiber optic: %41.89 churn, DSL: %18.96 churn, No: %7.40 churn",Fiber optic müşterileri beklenmedik şekilde yüksek churn gösteriyor,"Fiber optic hizmet kalitesi, fiyatlandırma veya rekabet analizi gerekli",InternetService güçlü bir prediktör olacak.
MonthlyCharges - Churn İlişkisi,"Churn=Yes ortalama $74.44, Churn=No ortalama $61.27 (p<0.0001)",Yüksek ücretlendirme churn riskini artırıyor,Fiyatlandırma stratejisi gözden geçirilmeli. Premium müşteriler churn ediyor.,MonthlyCharges sayısal değişkenler arasında güçlü prediktör.
TotalCharges ve tenure Korelasyonu,"Korelasyon: 0.8259, TotalCharges VIF: 8.08",Yüksek multicollinearity. TotalCharges = tenure × MonthlyCharges ilişkisi,"TotalCharges türetilmiş bir değişken, bağımsız bilgi taşımıyor",TotalCharges modelden çıkarılmalı veya tenure yerine kullanılmalı (leakage riski).
PaymentMethod - Churn İlişkisi,"Electronic check: %45.29 churn, Automatic methods: ~%16 churn",Manual payment method yüksek churn ile ilişkili,Otomatik ödeme yöntemlerine geçiş teşviki churn'ü azaltabilir,PaymentMethod kategorik encoding ile güçlü bir feature olacak.
OnlineSecurity/TechSupport - Churn İlişkisi,"OnlineSecurity=No: %41.77 churn, TechSupport=No: %41.64 churn",Ek hizmetler müşteri bağlılığını artırıyor,Value-added services churn'ü azaltmanın etkili yolu,Bu değişkenler güçlü negatif churn göstergeleri.
Partner/Dependents - Churn İlişkisi,"Partner=No: %32.96 churn, Dependents=No: %31.28 churn",Aile yapısı churn'ü etkiliyor,Bekar/dependents olmayan müşteriler daha az bağlı,Demografik değişkenler orta düzey prediktörler.
Veri Kalitesi,"Sadece TotalCharges'da 11 eksik değer (%0.16), duplicate yok",Genel veri kalitesi çok yüksek,"Temiz veri seti, hızlı modelleme mümkün","Minimal preprocessing gerekli, odak feature engineering ve model selection'da olmalı."
