Sorun,Kanıt,Öneri,Öncelik
Glucose değişkeninde mantıksal olarak imkansız 0 değerleri (gizli eksik veri),0 değer sayısı: 5 (%0.65). Bu değişkende 0 değeri mantıksal olarak imkansızdır.,"Data Prep Expert, Glucose için 0 değerlerini NaN'a dönüştürmeli ve uygun imputasyon stratejisi (median, mean, KNN, iterative) uygulamalıdır.",Yüksek
BloodPressure değişkeninde yüksek çarpıklık,Skewness değeri -1.844 (|skewness| > 1).,"Data Prep Expert, BloodPressure için log, Box-Cox veya Yeo-Johnson dönüşümü değerlendirmelidir.",Orta
BloodPressure değişkeninde yüksek outlier oranı,IQR yöntemine göre outlier oranı %5.86.,"Data Prep Expert, BloodPressure için winsorization, log dönüşümü veya robust scaler değerlendirmelidir.",Orta
BloodPressure değişkeninde mantıksal olarak imkansız 0 değerleri (gizli eksik veri),0 değer sayısı: 35 (%4.56). Bu değişkende 0 değeri mantıksal olarak imkansızdır.,"Data Prep Expert, BloodPressure için 0 değerlerini NaN'a dönüştürmeli ve uygun imputasyon stratejisi (median, mean, KNN, iterative) uygulamalıdır.",Yüksek
SkinThickness değişkeninde mantıksal olarak imkansız 0 değerleri (gizli eksik veri),0 değer sayısı: 227 (%29.56). Bu değişkende 0 değeri mantıksal olarak imkansızdır.,"Data Prep Expert, SkinThickness için 0 değerlerini NaN'a dönüştürmeli ve uygun imputasyon stratejisi (median, mean, KNN, iterative) uygulamalıdır.",Yüksek
Insulin değişkeninde yüksek çarpıklık,Skewness değeri 2.272 (|skewness| > 1).,"Data Prep Expert, Insulin için log, Box-Cox veya Yeo-Johnson dönüşümü değerlendirmelidir.",Orta
Insulin değişkeninde mantıksal olarak imkansız 0 değerleri (gizli eksik veri),0 değer sayısı: 374 (%48.70). Bu değişkende 0 değeri mantıksal olarak imkansızdır.,"Data Prep Expert, Insulin için 0 değerlerini NaN'a dönüştürmeli ve uygun imputasyon stratejisi (median, mean, KNN, iterative) uygulamalıdır.",Yüksek
BMI değişkeninde mantıksal olarak imkansız 0 değerleri (gizli eksik veri),0 değer sayısı: 11 (%1.43). Bu değişkende 0 değeri mantıksal olarak imkansızdır.,"Data Prep Expert, BMI için 0 değerlerini NaN'a dönüştürmeli ve uygun imputasyon stratejisi (median, mean, KNN, iterative) uygulamalıdır.",Yüksek
DiabetesPedigreeFunction değişkeninde yüksek çarpıklık,Skewness değeri 1.920 (|skewness| > 1).,"Data Prep Expert, DiabetesPedigreeFunction için log, Box-Cox veya Yeo-Johnson dönüşümü değerlendirmelidir.",Orta
Age değişkeninde yüksek çarpıklık,Skewness değeri 1.130 (|skewness| > 1).,"Data Prep Expert, Age için log, Box-Cox veya Yeo-Johnson dönüşümü değerlendirmelidir.",Orta
